station_pk,name,x,y,altitude,priority,private,has_measurement,has_warnregion,country,active
01210,Alesund,7601.4,236.6982,22,3,1,1,0,Norway,1
01311,Bergen,7281.50004,1463.8509,50,3,1,1,0,Norway,1
01338,Vangsnes,7792.89984,987.59952,51,3,1,1,0,Norway,1
01368,Fagernes,8745.40008,1073.0988,822,3,1,1,0,Norway,1
01384,Oslo,9388.8,1508.5494,201,3,1,1,0,Norway,1
01385,Hamar,9384.99984,1178.3988,221,3,1,1,0,Norway,1
01415,Stavanger,7429.29984,2222.54982,9,3,1,1,0,Norway,1
01452,Kristiansand,8307.60012,2592.0,17,3,1,1,0,Norway,1
01492,Oslo-Blindern,9259.2,1651.19958,94,3,1,1,0,Norway,1
02355,Kuggören,11707.38,700.379999999998,8,3,1,1,0,Sweden,1
02366,Sundsvall,11681.79984,257.699879999999,3,3,1,1,0,Sweden,1
02418,Karlstad,10201.5,1919.8512,46,3,1,1,0,Sweden,1
02464,Stockholm,11858.976,1968.678,15,3,1,1,0,Sweden,1
02469,Tullinge,11848.60044,2063.3994,45,3,1,1,0,Sweden,1
02500,Nordkoster,9361.40004,2218.3497,33,3,1,1,0,Sweden,1
02513,Göteborg,9717.3,2853.59922,5,3,1,1,0,Sweden,1
02520,Satenas,9977.00004,2468.3994,54,3,1,1,0,Sweden,1
02550,Jonkoping,10464.90012,2834.2494,226,3,1,1,0,Sweden,1
02562,Linkoping,10989.29988,2485.04976,93,3,1,1,0,Sweden,1
02590,Visby,12006,2879.99928,51,3,1,1,0,Sweden,1
02635,Malmö,10105.49016,4011.3927,20,3,1,1,0,Sweden,1
02664,Ronneby,10896.50016,3635.8497,58,3,1,1,0,Sweden,1
02944,Tampere,13902.3,853.050420000001,112,3,1,1,0,Finland,1
02965,Lahti,14627.09988,1100.39958,83,3,1,1,0,Finland,1
02974,Helsinki,14384.40012,1443.59928,51,3,1,1,0,Finland,1
02982,Hanko,13662.69984,1742.2506,6,3,1,1,0,Finland,1
03005,Lerwick,4973.50008,1544.84928,82,3,1,1,0,United Kingdom,1
03017,Kirkwall,4355.49996,2185.0506,26,3,1,1,0,United Kingdom,1
03026,Stornoway,3125.19996,2584.6506,9,3,1,1,0,United Kingdom,1
03044,Altnaharra,3800.7,2544.60042,81,3,1,1,0,United Kingdom,1
03066,Kinloss,4117.10004,2891.39922,6,3,1,1,0,United Kingdom,1
03068,Lossiemouth,4203.60012,2855.85048,13,3,1,1,0,United Kingdom,1
03075,Wick,4287.6,2454.90048,39,3,1,1,0,United Kingdom,1
03091,Dyce,4606.09992,3129.3,65,3,1,1,0,United Kingdom,1
03100,Tiree,2922.912,3510,12,3,1,1,0,United Kingdom,1
03132,West Freugh,3623.29992,4396.0509,11,3,1,1,0,United Kingdom,1
03136,Prestwick-RNAS,3749.50008,4041.684,26,3,1,1,0,United Kingdom,1
03158,Charterhall,4541.50008,3937.3506,112,3,1,1,0,United Kingdom,1
03162,Eskdalemuir,4245.7824,4151.3553,242,3,1,1,0,United Kingdom,1
03171,Leuchars,4369.68576,3576.21264,12,3,1,1,0,United Kingdom,1
03220,Carlisle,4333.10004,4355.40024,28,3,1,1,0,United Kingdom,1
03257,Leeming,4848.09984,4699.65024,40,3,1,1,0,United Kingdom,1
03261,Dishforth,4890.77784,4787.2134,36,3,1,1,0,United Kingdom,1
03292,Bridlington,5336.70012,4809.30102,15,3,1,1,0,United Kingdom,1
03321,Hawarden,4324.5,5305.6512,10,3,1,1,0,United Kingdom,1
03354,Nottingham,4949.532,5397.00084,117,3,1,1,0,United Kingdom,1
03379,Cranwell,5218.70004,5383.19898,67,3,1,1,0,United Kingdom,1
03405,Aberdaron,3693.09996,5513.9994,95,3,1,1,0,United Kingdom,1
03414,Shawbury,4440.70008,5510.84904,76,3,1,1,0,United Kingdom,1
03482,Marham,5603.79996,5588.2494,23,3,1,1,0,United Kingdom,1
03520,Shobdon,4361.10012,5808.74922,99,3,1,1,0,United Kingdom,1
03560,Bedford,5232.49992,5817.45024,85,3,1,1,0,United Kingdom,1
03604,Milford,3580.80012,6097.1994,44,3,1,1,0,United Kingdom,1
03628,Bristol,4472.20008,6198.15132,59,3,1,1,0,United Kingdom,1
03740,Lyneham,4682.72196,6208.2963,145,3,1,1,0,United Kingdom,1
03743,Larkhill,4749.90012,6371.09928,132,3,1,1,0,United Kingdom,1
03772,London,5237.79984,6221.24928,24,3,1,1,0,United Kingdom,1
03781,Kenley,5367.09996,6315.8994,170,3,1,1,0,United Kingdom,1
03808,Camborne,3482.1,6902.09964,87,3,1,1,0,United Kingdom,1
03827,Plymouth,3916.40004,6828.3,50,3,1,1,0,United Kingdom,1
03839,Exeter,4173.90012,6621.9012,30,3,1,1,0,United Kingdom,1
03894,Guernsey,4464.69984,7326.14976,101,3,1,1,0,United Kingdom,1
03895,Jersey,4610.09988,7446.7512,84,3,1,1,0,United Kingdom,1
03917,Aldergrove,3158.95788,4501.56096,81,3,1,1,0,United Kingdom,1
03955,Cork,2346.00012,6021.0,153,3,1,1,0,Ireland,1
